Name,State,Lat,Long,Population
New York,NY,40.6943,-73.9249,19354922
Los Angeles,CA,34.1139,-118.4068,12815475
Chicago,IL,41.8373,-87.6862,8675982
Miami,FL,25.7839,-80.2102,6381966
Dallas,TX,32.7936,-96.7662,5733259
Philadelphia,PA,40.0077,-75.1339,5637884
Houston,TX,29.7869,-95.3905,5446468
Washington,DC,38.9047,-77.0163,5289420
Atlanta,GA,33.7627,-84.4225,5228750
Boston,MA,42.3188,-71.0846,4637537
Phoenix,AZ,33.5722,-112.0891,4081849
Seattle,WA,47.6211,-122.3244,3643765
San Francisco,CA,37.7562,-122.443,3603761
Detroit,MI,42.3834,-83.1024,3522206
San Diego,CA,32.8312,-117.1225,3210314
Minneapolis,MN,44.9635,-93.2678,2926757
Tampa,FL,27.9942,-82.4451,2804240
Denver,CO,39.7621,-104.8759,2787266
Brooklyn,NY,40.6501,-73.9496,2629150
Queens,NY,40.7498,-73.7976,2333054
Baltimore,MD,39.3051,-76.6144,2170504
Riverside,CA,33.9381,-117.3948,2084749
St. Louis,MO,38.6358,-90.2451,2078283
Las Vegas,NV,36.2333,-115.2654,2073045
Portland,OR,45.5371,-122.65,2052796
San Antonio,TX,29.4658,-98.5254,2002530
Sacramento,CA,38.5667,-121.4683,1854698
San Jose,CA,37.3021,-121.8489,1821899
Orlando,FL,28.4772,-81.3369,1776841
Cleveland,OH,41.4767,-81.6805,1730363
Pittsburgh,PA,40.4396,-79.9763,1715297
Cincinnati,OH,39.1412,-84.506,1648254
Manhattan,NY,40.7834,-73.9662,1643734
Austin,TX,30.3006,-97.7517,1638716
Kansas City,MO,39.1239,-94.5541,1615621
Indianapolis,IN,39.7771,-86.1458,1564699
Columbus,OH,39.986,-82.9851,1528314
Virginia Beach,VA,36.7335,-76.0435,1480383
Charlotte,NC,35.2079,-80.8304,1467362
Bronx,NY,40.8501,-73.8662,1455720
Milwaukee,WI,43.0642,-87.9673,1377808
Providence,RI,41.823,-71.4187,1206642
Jacksonville,FL,30.3322,-81.6749,1156291
Salt Lake City,UT,40.7774,-111.93,1098400
Nashville,TN,36.1715,-86.7843,1076645
Memphis,TN,35.1046,-89.9773,1068873
Richmond,VA,37.5295,-77.4756,1059907
New Orleans,LA,30.0687,-89.9288,1029123
Raleigh,NC,35.8324,-78.6438,1018336
Louisville,KY,38.1663,-85.6485,1011696
Oklahoma City,OK,35.4676,-97.5137,955998
Bridgeport,CT,41.1918,-73.1953,938406
Buffalo,NY,42.9017,-78.8487,926261
Hartford,CT,41.7661,-72.6834,914751
Fort Worth,TX,32.7812,-97.3472,874168
Tucson,AZ,32.1545,-110.8782,868391
El Paso,TX,31.8479,-106.4309,845674
Honolulu,HI,21.3294,-157.846,833671
Omaha,NE,41.2628,-96.0498,827786
McAllen,TX,26.2273,-98.2471,800904
Albuquerque,NM,35.1053,-106.6464,758523
Birmingham,AL,33.5277,-86.7987,744189
Dayton,OH,39.7797,-84.1998,718169
Rochester,NY,43.168,-77.6162,711998
Sarasota,FL,27.3386,-82.543,706245
Fresno,CA,36.7831,-119.7941,698021
Allentown,PA,40.5961,-75.4755,682899
Tulsa,OK,36.1284,-95.9043,672054
Concord,CA,37.9722,-122.0016,654770
Cape Coral,FL,26.6445,-81.9955,630134
Springfield,MA,42.1155,-72.5395,628076
Colorado Springs,CO,38.8674,-104.7606,623946
Charleston,SC,32.8151,-79.963,616085
Grand Rapids,MI,42.9615,-85.6557,602694
Mission Viejo,CA,33.6095,-117.655,600474
Albany,NY,42.6664,-73.7987,597270
Knoxville,TN,35.9692,-83.9496,585249
Baton Rouge,LA,30.4419,-91.131,583613
Bakersfield,CA,35.353,-119.0359,574362
Ogden,UT,41.228,-111.9677,573632
New Haven,CT,41.3112,-72.9246,568144
Columbia,SC,34.0376,-80.9037,566166
Akron,OH,41.0798,-81.5219,565920
Provo,UT,40.2457,-111.6457,503695
Worcester,MA,42.2705,-71.8079,498997
Mesa,AZ,33.4017,-111.7181,496401
Palm Bay,FL,27.955,-80.6628,489912
Toledo,OH,41.6639,-83.5822,488672
Murrieta,CA,33.572,-117.1909,483681
Wichita,KS,37.6897,-97.3441,483057
Des Moines,IA,41.5725,-93.6105,481222
Staten Island,NY,40.5834,-74.1496,476015
Long Beach,CA,33.798,-118.1675,469450
Greenville,SC,34.8362,-82.3649,467894
Little Rock,AR,34.7255,-92.358,442699
Harrisburg,PA,40.2752,-76.8843,441580
Denton,TX,33.2176,-97.1419,440146
Madison,WI,43.0827,-89.3923,439553
Reno,NV,39.5497,-119.8483,433271
